,Name/Desc,MFR,MFR P/N,QTY ,Vendor Link,,,
,Arduino MKR WiFi 1010,Arduino,ABX00023,1,https://store-usa.arduino.cc/products/arduino-mkr-wifi-1010,,,
,"SD, LED, Switch PCB Shield",JLCPCB ,-,1,https://jlcpcb.com/,,,
,Littlebits Wire ,Sphero,650-0071,1,https://sphero.com/products/wire-bit,,,
,1x14 male headers ,Lystaii,-,2,https://www.amazon.com/dp/B06ZZN8L9S,,,
,1x3 male headers,Lystaii,-,2,https://www.amazon.com/dp/B06ZZN8L9S,,,
,"JST PA 2POS Male connector, TH",JST ,B02B-PASK(LF)(SN),4,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B02B-PASK-1-LF-SN/926738,,,
,"JST PA 2POS Female connector, TH",JST ,PAP-02V-S,4,https://www.digikey.com/en/products/detail/jst-sales-america-inc/PAP-02V-S/759974,,,
,"JST PA 3POS Male connector, TH",JST ,B03B-PASK-1(LF)(SN),2,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B03B-PASK-1-LF-SN/926739,,,
,"JST PA 3POS Female connector, TH",JST ,PAP-03V-S,2,https://www.digikey.com/en/products/detail/jst-sales-america-inc/PAP-03V-S/759975,,,
,JST PA Crimps,JST ,SPHD-002T-P0.5,14,https://www.digikey.com/en/products/detail/jst-sales-america-inc/SPHD-002T-P0-5/608754,,,
,"Red LED, 3mm",Adafruit,777,2,https://www.adafruit.com/product/777,,,
,"Green LED, 3mm",Adafruit,779,1,https://www.adafruit.com/product/779,,,
,Metal tactile switch,Adafruit,3347,1,https://www.adafruit.com/product/3347,,,
,Plastic Beveled LED Holders,Adafruit,2179,4,https://www.adafruit.com/product/2179,,,
,"SPDT Toggle Switch, Panel Mount",Adafruit,3221,2,https://www.adafruit.com/product/3221,,,
,M3 Knurled Threaded Inserts,SAVITA,-,4,https://www.amazon.com/dp/B0BMVHYGWM,,,
,M3 x 8mm Machine Screws,PZRT,-,4,https://www.amazon.com/dp/B07F6YGHKP,,,
,"26 AWG Wire, Stranded Core, Red",OMEGA,1569-26-1-0500-004-1-TS,6,https://www.digikey.com/en/products/detail/cnc-tech/1569-26-1-0500-004-1-TS/15853684,,,
,"26 AWG Wire, Stranded Core, Black ",OMEGA,1569-26-1-0500-001-1-TS,6,https://www.digikey.com/en/products/detail/cnc-tech/1569-26-1-0500-001-1-TS/15853661,,,
,"26 AWG Wire, Stranded Core, Yellow",OMEGA,1569-26-1-0500-003-1-TS,2,https://www.digikey.com/en/products/detail/cnc-tech/1569-26-1-0500-003-1-TS/15853701,,,
,"Heat shrink, red",-,-,6,-,,,
,"Heat shrink, black",-,-,6,-,,,
,"Heat shrink, yellow ",-,-,2,-,,,
,"microSD card, 8GB ",Gigastone,-,1,https://www.amazon.com/dp/B0876H387X/,,,
,"Paper-printed Decals, QR Code",-,-,1,-,,,
